א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
עולם־השקר,אוילעם־האַשעקער,
עולם־התוהו,אוילעם־האַטויע,
עולם־התועו,אוילעם־האַטויע,
עולם־התחתון,אוילעם־האַטאַכטן,
עולם־ומלואו,אוילעם־אומלויע,
עולם־קטן,אוילעם־קאָטן,
עומר,אוימער,
עונג,אוינעג,
עונג־שבת,אוינעג־שאַבעס,
עונג־שבתים,אוינעג־שאַבאָסים,
עונש,אוינעש,
עונשים,אוינשים‏[2],
,"(אָדער אַמאָל אָנאָשים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
עוסק,אויסעק,
עוסקים,אָסקים,
עוסק־בצרכי־ציבור,אויסעק־בעצאָרכע־ציבער,
עוסקים־בצרכי־ציבור,אָסקים־בעצאָרכע־ציבער,
עוף,אָף,
עופות,אויפֿעס,
עוקץ,אויקעץ,
עוקר,אויקער,
עוקר־הרים,אויקער־האָרים,
עוקר־מן־השורש,אויקער־מינאַשוירעש‏[2],
,"(אָדער אַמאָל אויקער־מין־האַשוירעש לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
עושר,אוישער,
עשירים,אַשירים,
עזאזל,אַזאָזל,
עזבון,איזאָוון,
עזבונות,איזוווינעס,
עזות,אַזעס,
עזות־מחוצף־פנים,אַזעס־מעכוצעף־פּאָנעם,
עזות־מחוצף־פניםער (מערצאָל פֿאָרעם נישט פֿון לשון־קודש),אַזעס־מעכוצעף־פּענעמער (אָדער אַמאָל אַזעס־פּענימער),
עזות־פנים,אַזעס־פּאָנעם,"""... אפילע אזעס־פּענימער, נאָר אין גרונט זײַנען עס שעמעוודיקע רעב זעלמעלעך,..."""
עזות־פניםער (מערצאָל פֿאָרעם נישט פֿון לשון־קודש),אַזעס־פּענעמער (אָדער אַמאָל אַזעס־פּענימער),"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 6."
עזר־כנגדו,אייזער־קענעגדע,
עזרת־נשים,עזרעס־נאָשים,
עטרה,אַטאָרע,
עטרות,אַטאָרעס,
עיבור (אָדער אַמאָל עבור),איבער,
עיבור־חודש (אָדער אַמאָל עבור־חודש),איבער־כוידעש,
עיגול (אָדער אַמאָל עגול),איגל,
עיגולים,איגולים,
עיון,איִיען,
עיין (אָדער אַמאָל עין),אַיען,
עיכוב,איקעוו,
עיכובים,איקוּווים,
עילוי,אילע,
עילויים,אילויִם,
עין,"איין (אָדער אַמאָל אַיען לויט ""מאָדערן ייִדיש־ענגליש ענגליש־ייִדיש ווערטערבוך"" פֿון אוריאל ווײַנרײַך)",
עינים,"(אַיִן לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,איינאַיִם,
עין־הרע,"איין־האָרע (אָדער אַמאָל איין־אָרע אָדער אַיען־האָרע לויט ""מאָדערן ייִדיש־ענגליש ענגליש־ייִדיש ווערטערבוך"" פֿון אוריאל ווײַנרײַך)",
,"(אַיִן־האָרע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
עינוי (אָדער אַמאָל ענוי),אינע,
עינויים,אינויִם,
עינויים־קשים,אינויִם־קאָשים,
עיפוש,איפּעש,
עיקר,איקער,
עיקרים,איקרים,
עיקר־המעשה,איקער־האַמײַסע,
עיקר־שכחתי,איקער־שאָכאַכטי,
עיר־ואם(־בישראל),איר־וועיים(־בעיִסראָעל),
עירוב (אָדער אַמאָל ערוב),איירעוו,
עירובים,איירוּווים,
עכבר (געניצט אין דעם ייִדישן וואָרט עכבראָש און עכבראָשים),אַכבער,
עכו״ם,אַקום,
על־אחת־כמה־וכמה,אַל־אַכעס־קאַמע־וועקאַמע,
על־דעת־עצמו,אַל־דאַאַס־אַצמע,
על־התורה ועל־העבודה,אַל־האַטוירע וועאַל־האַאַוווידע (אָדער אַמאָל אַל־אַטוירע וועאַל־אַאַוווידע),
על־חטא,אַל־כעט,
על־כל־פנים,אַל־קאָל־פּאָנעם (אָדער אַמאָל אַלקל־פּאָנעם),
על כל צרה שלא תבוא,אַל קאָל צאָראָ שעלוי טאָוווי,
על־כן,אַל־קיין (אָדער אַמאָל אַלקן),
על־פי,אַל־פּי,"""דעם שמויסענעם פוטער זאָל נעמען ווער נויטיק איז, אָדער אלפּי גוירל וועמען ס׳וועט פאלן,..."""
(אָפֿט געשריבן אַלס ע״פ),,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
על־פי דין,אַל־פּי דין,
על־פי טעות,אַל־פּי טאָעס,
על־פי נס,אַל־פּי נעס,
על־פי רוב,אַל־פּי ראָוו,
על־צד־היותר־טוב,אַל־צאַד־האַיויסער־טויוו (אָדער אַמאָל אַל־צאַד־האַיויסער־טאָוו),
על־קידוש־השם,אַל־קידעש־האַשעם,
על־רגל־אחת,אַל־רעגל־אַכעס,
עלול,אָלעל,
עליה,אַליִע,
עליות,אַליִעס,
עליה־השלום,אָלע־האַשאָלעם (אָדער אַמאָל אָלע־שאָלעם),
(אָפֿט געשריבן אַלס ע״ה),,
עליהם־השלום,אַלייעם־האַשאָלעם,
(אָפֿט געשריבן אַלס ע״ה),,
עליו־השלום,אָלעוואַשאָלעם,
(אָפֿט געשריבן אַלס ע״ה),,
עליכם־ועל־בניכם,אַלייכעם־וועאַל־בנייכעם,
עליכם־שלום,אַלייכעם־שאָלעם,
עלילת־דם,אַלילעס־דאַם,
עלינו,אָליינו,
עם,אַם,
עם־הארץ,אַם־אָרעץ,
עמי־הארצים,אַמעראַצים,
עם־הארצות,אַם־עראַצעס,
עם־הספר,אַם־האַסייפֿער,
עם־ישראל,אַם־ייִסראָעל,
עמוד,אָמעד,
עמודים,אַמודים,
עמוד־האש (אָדער אַמאָל עמוד־אש),אַמעד־האָייש (אָדער אַמאָל אַמעד־אייש),
עמוד־הענן,אַמעד־העאָנען,
עמוק,אָמעק,
עמך,אַמכאָ,
עמלק,אַמאָלעק,
עמלקים,אַמאָלייקים,
עמקות,אַמקעס,
ענוו (אָדער אַמאָל עניו),אָנעוו,
ענווים (אָדער אַמאָל עניוים),אַנאָווים,
ענווה,אַנאָווע,
עני־ואביון,אָני־וועעוויען,
עניים־ואביונים,אַניִיִם־וועעוויוינים,
עניוות,אַניוועס,
ענין,איניען,
ענינים,איניאָנים,
עסק,אייסעק,
עסקים,אַסאָקים,
עסקן,אַסקן,
עסקנים,אַסקאָנים,
עפר־ואפר,אָפֿער־וואָייפֿער,
עפרא־דארעא,אַפֿרע־דעאַרע,
עץ,אייץ,
עץ־הדעת,אייץ־האַדאַאַס,
עץ־החיים,אייץ־האַכאַיִם,
עץ־חיים,אייץ־כאַיִם,
עצבות,אַצוועס,
עצה,אייצע,
עצות,אייצעס,
עצירות,אַצירעס,
עצל,אָצל,
עצלים,אַציילים,
עצלות,אַצלעס,
עצם,עצעם,
עצמות,אַצאָמעס,
עקידה (אָדער אַמאָל עקדה),אַקיידע,
עקידת־יצחק (אָדער אַמאָל עקדת־יצחק),אַקיידעס־ייִצכאָק,
עקר,אָקער,
עקרים,אַקאָרים,
עקרה,אַקאָרע,"""ס׳זײַנען ניטאָ קיין אקאָרעס אין דער מישפּאָכע, ניטאָ קיין געפאלענע פאר דער צײַט, אויסער די מומע העסיע."""
עקרות,אַקאָרעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
עקרת־הבית,אַקערעס־האַבאַיִס,
עקשן,אַקשן,
עקשנים,אַקשאָנים,
עקשנות,אַקשאָנעס,
ערב,אָרעוו,
ערבים,אָרווים (אָדער אַמאָל אַרייווים),
ערב,ערעוו,
ערב־רב,ערעוו־ראַוו,
ערב־שבת,ערעוו־שאַבעס,
ערבות,אָרוועס,
ערווה,ערווע,
ערוות,ערוועס,
עריות,אַרויעס,
ערך,ערעך,"""די שטיקל קארקע, וואָס איך האָב, זאָל מען פארקויפן, נעמען פאר איר ערעך ארבע מייעס רוק,..."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
ערל,אָרל,
ערלים,אַריילים,
ערמה,אָרמע,
עשירות,אַשירעס,
עשו,אייסעוו,
עשר־מכות,עסער־מאַקעס,
עשרים־וארבעה,עסרים־וועאַרבע,
עשרת־בני־המן,אַסערעס־בניי־האָמען,
עשרת־הדיברות,אַסערעס־האַדיברעס,
עשרת־השבטים,אַסערעס־האַשוואָטים,
עשרת־ימי־תשובה,אַסערעס־ייִמיי־טשוּווע‏[2],
,"(אָדער אַמאָל אַסערעס־יעמיי־טשוּווע לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
עת־צרה,אייס־צאָרע,
עת־רצון,אייס־ראָצן,
עתיד,אָסעד,
,,
פ[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
פּ (אויך די צאָל 80),פּ,
פּא,פּיי,
פאה,פּייע,
פאות,פּייעס,
פאר,פּער,
פאר־הדור,פּער־האַדאָר,
פגימה,פּגימע,
פגימות,פּגימעס,
פגירה,פּגירע,
פגירות,פּגירעס,
פגם,פּגאַם,
פגמים,פּגאָמים,
פגע,פּעגע,
פגעים,פּגאָיִם,
פגע־רע,פּעגע־ראַ,
פגעים־רעים,פּגאָיִם־ראָיִם,
פגר,פּייגער,
פגרים,פּגאָרים,
פדיון,פּידיען,
פדיונות,פּידיוינעס,
פדיון־הבן,פּידיען־אַבען,
פדיון־שבויים,פּידיען־שוווּיִם,
פה־אחד,פּע־עכעד,
פה־אל־פה,פּע־על־פּע,
פה־קדוש,פּע־קאָדעש,
פי־תמיד,פּי־טאָמעד,
פוגם,פּויגעם,
פוגע,פּויגייע,
פוגע־בכבוד,פּויגייע־בעקאָוועד,
פוסק,פּויסעק,
פוסקים,פּאָסקים,
פוסק־אחרון,פּויסעק־אַכרען,
פועל ‏[6]פועלים,פּויעל,
,פּויאַלים,
פועל־יוצא,פּויעל־יויצע (אָדער אַמאָל פּאָעל־יויצע),
פועלי־ציון,פּוילע־ציִען (אָדער אַמאָל פּאַלע־ציִען),
פוקד־עקרות,פּויקעד־אַקאָרעס,
פורים,פּורים,
פורים־קטן,פּורים־קאָטן,
פורים־רב,פּורים־ראָוו,
פורעניות,פּוראָניעס,
פורץ־גדר,פּוירעץ־געדער,
פורש־בשמו,פּוירעש־בישמוי,
פורש־מן־הציבור,פּוירעש־מין־אַציבער,
פושע־ישראל,פּאָשע־ייִסראָעל,
פושעי־ישראל,פּאָשע־ייִסראָעל,
פותיקי,פּויטיקע,
פותיקות,פּויטיקעס,
פותר,פּויסער,
פותר־חלום,פּויסער־כאָלעם,
פזרן,פּאַזרען,
פזרנים,פּאַזראָנים,
פזרנות,פּאַזראָנעס,
פחד,פּאַכעד,
פחדים,פּכאָדים,
פחדן,פּאַכדן,
פחדנים,פּאַכדאָנים,
פחדנות,פּאַכדאָנעס,
פחותי־ערך,פּכוסע־ערעך,
פחיתות־הכבוד,פּכיסעס־האַקאָוועד,
פחת,פּכאַס,
פטור,פּאָטער,
פטירה,פּטירע,
פטירות,פּטירעס,
פטר ‏[7],פּאַטער,
פיוט,פּיִעט (אָדער אַמאָל פּאַיעט),
פיוטים,פּיִיוטים,
פיזמון (אָדער אַמאָל פזמון),פּיזמען,
פיזמונות (אָדער אַמאָל פיזמונים),פּיזמוינעס (אָדער אַמאָל פּיזמוינים),
פיטום (אָדער אַמאָל פטום),פּיטעם,
פיטור (אָדער אַמאָל פטור),פּיטער,
פיטורים,פּיטורים,
פייטן,פּײַטן,
פייטנים,פּײַטאָנים,
פילאי־פלאים (אָדער אַמאָל פלאי־פלאים),פּילע־פּלאָיִם,
פילגש (אָדער אַמאָל פלגש),פּילעגעש,
פילגשים,פּילאַקשים,
פילוסוף,פּילוסוף,
פילוסופים,פּילוסופֿים,
פילפול (אָדער אַמאָל פלפול),פּילפּל,
פינקס (אָדער אַמאָל פנקס),פּינקעס,
פינקסים,פּינקייסים (אָדער אַמאָל פּינקאָסים),
פיקוח־נפש,פּיקועך־נעפֿעש,
פיקח (אָדער אַמאָל פקח),פּיקייעך (אָדער אַמאָל פּיקעך),
פיקחים (אָדער אַמאָל פקחים),פּיקכים,
פיקחות (אָדער אַמאָל פקחות),פּיקכעס,
פיקחית (אָדער אַמאָל פקחית),פּיקכעס,
פיקפוק,פּיקפּעק,
פיקפוקים,פּיקפּוקים,
פירוד־הלבבות (אָדער אַמאָל פירוד־לבבות אָדער פרוד־הלבבות),פּיירעד־האַלעוואָוועס (אָדער אַמאָל פּיירעד־האַלוואָוועס אָדער פּיירעד־לעוואָוועס),
פירוש (אָדער אַמאָל פרוש),פּיירעש,
פירושים,פּערושים,
פירוש־המילות (אָדער אַמאָל פרוש־המילות),פּיירעש־האַמילעס,
פירסום,פּירסעם,
פירק (אָדער אַמאָל פרק),פּיירעק,
פרקים,פּראָקים,
פירקי־אבות (אָדער אַמאָל פרקי־אבות),פּירקע־אָוועס,
פיתום־ורעמסס,פּיסעם־וועראַמסעס,
פיתחון־פה (אָדער אַמאָל פתחון־פה),פּיסכן־פּע,
פיתרון (אָדער אַמאָל פתרון),פּיסרען,
פיתרונות,פּיסרוינעס,
פיתרון־חלומות,פּיסרען־כאַלוימעס,
פלא,פּיילע (אָדער אַמאָל פּעלע),
פלאים,פּלאָיִם,
פלא־והפלא,פּיילע־וועהאַפֿלע (אָדער אַמאָל פּעלע־וועהאַפֿלע),
פלג־גוף,פּלאַג־גוף,
פלוגתא,פּלוקטע,
פלוגתות,פּלוקטעס,
פלוני(־בן־פלוני),פּלוינע(־בען־פּלוינע),
פלונית(־בת־פלונית),פּלוינעס(־באַס־פּלוינעס),
פליאה,פּליִע,
פליאות,פּליִעס,
פליט,פּאָלעט,
פליטים,פּלייטים,
פליטה,פּלייטע,
פליטות,פּלייטעס,
פלישתי (אָדער אַמאָל פלשתי),פּלישטי,
פלישתים,פּלישטים,
פמליה־של־מעלה,פּאַמאַליע־שעל־מײַלע,
פנוי,פּאָנע,
פנויים,פּנויִם,
פנויה,פּנוּיע,
פנויות,פּנוּיעס,
פני,פּניי,
פני־העיר,פּניי־האָיִר,
פניה,פּניִע,
פניות,פּניִעס,
פנים,פּאָנעם,
פנימער (מערצאָל פֿאָרעם נישט לשון־קודש),פּענעמער,
פנים,פּנים,
פנים־אל־פנים,פּאָנעם־על־פאָנעם,
פנים־חדשות,פּאָנעם־כאַדאָשעס,
פנימיות,פּנימיִעס,
פסול,פּאָסל,
פסול,פּסול,
פסול־לעדות,פּאָסל־לעיידעס (אָדער אַמאָל פּאָסל־ליידעס),
פסולת,פּסוילעס,
פסוק,פּאָסעק,
פסוקים,פּסוקים,
פסח,פּייסעך,
פסל (געניצט אין דעם ייִדישן ווערב פסלען),פּאַסל,
פסל־פנים,פּעסל־פּאָנעם,
פסלות,פּאַסלעס,
פסלנות,פּאַסלאָנעס,
פסק,פּאַסק,
פסק,פּסאַק,
פסקים,פסאָקים,
פסק־דין,פּסאַק־דין,
פעולה,פּולע,
פעולות,פּולעס,
פקדון,פּיקאָדן,
פקדונות,פּיקדוינעס,
פקיד,פּאָקעד,
פקידים,פּקידים,
פרא,פּערע,
פראים,פּראָיִם,
פרא־אדם,פּערע־אָדעם,
פרדס,פּאַרדעס,
פרדסים,פּאַרדייסים,
פרה־אדומה,פּאָרע־אַדומע,
פרוזדור,פּרויזדער,
פרוטה,פּרוטע,
פרוטות,פּרוטעס,
פרוכת (אָדער אַמאָל פרכת),פּאָרויכעס,
פרוש,פּאָרעש,
פרושים,פּרושים,
פרושי,פּרושי,
פרושים,פּרושים,
פרחה־נשמתו,פּאָרכע־נישמאָסע,
פרט,פּראַט,
פרטים,פּראָטים,
פרט־גדול,פּראַט־גאָדל,
פרט־קטן,פּראַט־קאָטן,
פרטית,פּראָטעס,
פרי,פּיירע,
פרות,פּיירעס,
פריעה,פּריִע,
פריץ,פּאָרעץ,
פריצים,פּריצים,
פריצה,פּריצע,
פריצות,פּריצעס,
פריצות,פּריצעס,
פרישה,פּרישע,
פרישות,פּרישעס,
פרנס,פּאַרנעס,
פרנסים,פּאַרנייסים (אָדער אַמאָל פּאַרנאָסים),
פרנס־חודש,פּאַרנעס־כוידעש,
פרנסה,פּאַרנאָסע,
פרנסות,פּאַרנאָסעס,
פרעה,פּאַרע,
פרעון,פּיראָען,
פרצוף,פּאַרצעף,
פרצופים,פּאַרצופֿים,
פרצוף־פנים,פּאַרצעף־פּאָנעם,
פרשה,פּאַרשע,
פרשיות,פּאַרשעס,
פשוט,פּאָשעט,
פשוטו־כמשמעו,פּשוטע־קעמאַשמאָע,
פשט,פּשאַט,
פשטים,פּשאָטים,
פשטות,פּאַשטעס,
פשטן,פּאַשטן,
פשטנים,פּאַשטאָנים,
פשט־פשוט,פּשאַט־פּאָשעט,
פשיטא,פּשיטע,
פשר,פּעשער,
פשרים,פּשאָרים,
פשרה,פּשאָרע,
פשרות,פּשאָרעס,
פשרות,פּאַשרעס,
פשרן,פּאַשרען,
פשרנים,פּאַשראָנים,
פשרנות,פּאַשראָנעס,
פת־לחם,פּאַס־לעכעם,
פתוח,פּסועך,
פתח,פּאַסעך,
פתח־אלף,פּאַסעך־אַלעף,
פתח־חרטה,פּעסעך־כאַראָטע,
פתי,פּעסי,
פתאים,פּסאָיִם,
פתיחה,פּסיכע,
פתיחת־הארון,פּסיכעס־האָאָרן,
,,
צ[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
צ (אויך די צאָל 90),צ,
צאינה־וראינה,צענערענע,
צאן־קדשים,צוין־קאָדאָשים,
צבוע (געניצט אין דעם ייִדישן וואָרט צבועק),צוווּיאַ (אָדער אַמאָל צוווּאַ),
צביעות,צוויִעס,
צד,צאַד,
צדדים,צדאָדים,
צד־השווה,צאַד־האַשאָווע,
צד־שכנגדו (אָדער אַמאָל צד־שכנגד),צאַד־שעקענעגדע (אָדער אַמאָל צאַד־שעקענעגעד),
צדוקי,צידוקי,
צדוקים,צידוקים,
צדיק,צאַדעק,
צדיקים,צאַדיקים,
צדיק־גמור,צאַדעק־גאָמער,
צדיקים־גמורים,צאַדיקים־גמורים,
צדיק־תמים,צאַדעק־טאָמעם,
צדיקים־תמימים,צאַדיקים־טמימים,
צדק,צעדעק,
צדקה,צדאָקע,
צדקה־גדולה,צדאָקע־גדוילע,
צדקנית,ציטקאָנעס,
צדקניות,ציטקאָניעס,
צדקת,צעדייקעס,
צואה,צויע,
צוואה (אָדער אַמאָל צואה),צאַוואָע,"""... ער האָט אָנגעשריבן אף א טאָוול פון א סייפער זײַן צאוואָע,..."""
צוואות (אָדער אַמאָל צואות),צאַוואָעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 7."
צום־גדליה,צאָם־געדאַליע,
צומח,צוימייעך,
צורה,צורע,
צורות,צורעס,
צורך,צוירעך,
צורר,צוירער,
צוררים,צוירערים (אָדער אַמאָל צאָרערים),
צורר־היהודים,צוירער־האַיהודים‏[2],
,"(אָדער אַמאָל צוירער־האַיעהודים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
צורת־אות,צורעס־אָס,
צורת־מטבע,צורעס־מאַטבייע,
צחקן,צאַכקן,
צחקנים,צאַכקאָנים,
ציבור (אָדער אַמאָל צבור),ציבער,
צידה־לדרך (אָדער אַמאָל צדה־לדרך),ציידע־לעדערעך‏[2],
,"(אָדער אַמאָל ציידע־לאַדערעך לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
צידוק־הדין,צידעק־האַדין,
צידקות (אָדער אַמאָל צדקות),ציטקעס,
ציון,ציִען,
ציון,ציִען,
ציונים,ציִונים,
ציור,ציִער,
ציורים,ציִורים,
ציית,צײַעס,
צימוקים (אָדער אַמאָל צמוקים),צימוקים,
צימצום,צימצעם,
צינור,צינער,
צינורות,צינוירעס,
ציצה,ציצע,
ציצות (אָדער אַמאָל ציצית),ציצעס,
ציצה־כנפות (אָדער אַמאָל ציצות־כנפות),ציצעס־קאַנפֿעס (אָדער אַמאָל ציצע־קאַנפֿעס),
צירה (אָדער אַמאָל צירי),ציירע,
צירות,,
צירוף (אָדער אַמאָל צרוף),ציירעף,
צירופים,ציירופֿים,
צלם,ציילעם,
צלמים,צלאָׂמים,
צלם־אלהים,ציילעם־עלויהים,
צלם־אלוקים,ציילעם־עלויקים,
צלמוות,צאַלמאָוועס,
צמחים,צעמאָכים (אָדער אַמאָל צמאָכים),
צמר,צעמער,
צמר־גפן,צעמער־געפֿן,
צנא־דמלא־סיפרא,צאַנע־דימלע־סיפֿרע,
צנא־מלא־ספרא,צאַנע־מאָלע־סאַפֿרע,
צנועה,צנוע,
צנועות,צנועס,
צניעות,צניִעס,
צנע,צענע,
צער,צאַר,
צער־בעלי־חיים,צאַר־באַלע־כאַיִם,
צער־גידול־בנים,צאַר־גידל־באָנים,
צפון,צאָפֿן,
צפון־מיזרח,צאָפֿן־מיזרעך,
צפון־מערב,צאָפֿן־מײַרעוו,
צרה,צאָרע,
צרות,צאָרעס,
צרות־צרורות,צאָרעס־צרורעס,
צרכי־ציבור,צאָרכע־ציבער,
צרכי־רבים,צאָרכע־ראַבים,
צרעת,צאָראַאַס,
צרת־רבים,צאָרעס־ראַבים,
,,
ק[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
ק (אויך די צאָל 100),ק,
ק״ן,קאַן,
קב־הישר,קאַוו־האַיאָשער,
קבוצה,קוווּצע,
קבוצות,קוווּצעס,
קבורה,קוווּרע,
קבורות,קוווּרעס,
קבורת־חמור,קוווּרעס־כאַמער,
קבורת־ישראל,קוווּרעס־ייִסראָעל,
קבלה,קאַבאָלע,
קבלת־פנים,קאַבאָלעס־פּאָנעם,
קבלת־קנין,קאַבאָלעס־קיניען,
קבלת־שבת,קאַבאָלעס־שאַבעס,
קבלות,קאַבאָלעס,
קבלן,קאַבלען,
קבלנים,קאַבלאָנים,
קבצן,קאַפּצן,
קבצנים,קאַפּצאָנים,
קבצנות,קאַפּצאָנעס,
קבר,קייווער,
קברים,קוואָרים,
קבר־אבות,קייווער־אָוועס,
קבר־ישראל,קייווער־ייִסראָעל,
קברות,קוואָרעס,
קברן,קאַברען,
קברנים,קאַבראָנים,
קדוש,קאָדעש,
קדושים,קדוישים,
קדוש־וטהור,קאָדעש־וועטאָהער,
קדושים־וטהורים,קדוישים־אוטעהוירים,
קדושה,קדושע,
קדחת,קאַדאָכעס,
קדחת־רביעית,קאַדאָכעס־רעוויִעס,
קדחת־שלישית,קאַדאָכעס־שלישעס,
קדיש,קאַדעש,
קדישים,קאַדיישים,
קדמון,קאַדמען,
קדמונים,קאַדמוינים,
קדר,קיידער,
קדרים,קדאָרים,
קדשה,קדיישע,
קדשות,קדיישעס,
קדשי־קדשים,קאָדשע־קאָדאָשים,
קהילה,קעהילע,
קהילות,קעהילעס,
קהילה־קדושה,קעהילע־קדוישע,
(ק״ק),(קאַק),
קהל,קאָאָל,
קהלת,קויהעלעס,
קו־המשווה,קאַוו־האַמאַשווע,
קובוץ,קובוץ,
קובע,קויווייע,
קובר,קויווער,
קודם,קוידעם,
קודם־כל,קוידעם־קאָל,
קודם־כל־דבר,קוידעם־קאָל־דאָווער,
קודש,קוידעש,
קודשא־בריך־הוא,קודשע־בעריכו (אָדער אַמאָל קודשע־בריכו),
קול,קאָל,
קול־נגינה,קאָל־נעגינע,
קול־קורא,קאָל־קוירע,
קולי־קולות,קוילע־קוילעס,
קולא,קולע,
קולות,קולעס,
קולות,קוילעס,
קולות־וברקים,קוילעס־אוּווראָקים,
קוממיות,קוימעמיִעס,
קונדס,קונדעס,
קונדסים,קונדייסים,
קונה,קוינע,
קונים,קוינים,
קונה־שם,קוינע־שעם,
קונטרס,קונטרעס,
קונטרסים,קונטרייסים,
קוף,קוף,
קוצו־של־יוד,קוצע־שעל־יוד,
קוצץ,קויצעץ,
קורח,קוירעך,
קורע,קוירייע,
קורע־כדג,קוירייע־קעדאַג,
קטורת,קטוירעס,
קטיגור (אָדער אַמאָל קטגור),קאַטייגער,
קטלא־קניא,קאַטלע־קאַניע,
קטלן,קאַטלען,
קטלנים,קאַטלאָנים,
קטלנית,קאַטלאַנעס (אָדער אַמאָל קאַטלאָנעס),
קטן,קאָטן,
קטנים,קטאַנים,
קיאה,קייע,
קיבוץ (אָדער אַמאָל קבוץ),קיבעץ (אָדער אַמאָל קיבוץ),
קיבוצים,קיבוצים,
קיבוץ־גליות,קיבעץ־גאָליעס,
קידוש (אָדער אַמאָל קדוש),קידעש,
קידוש־השם,קידעש־האַשעם,
קידוש־לבנה,קידעש־לעוואָנע,
קידוש־לבנה־אותיות,קידעש־לעוואָנע־אויסיעס,
קידושין (אָדער אַמאָל קדושין),קדושן,
קיום,קיִעם,
קיטניות (אָדער אַמאָל קטניות),קיטניִעס,
קיטרוג (אָדער אַמאָל קטרוג),קיטרעג,
קיימא־לן,קײַמע־לאָן,
קילקול (אָדער אַמאָל קלקול),קילקל,
קילקולים,קילקולים,
קין,קאַייִן,
קינאה (אָדער אַמאָל קנאה),קינע,
קינאות,קינעס,
קינאה־שינאה,קינע־סינע,
קינה,קינע,
קינות,קינעס,
קיסר,קייסער,
קיסרים,קייסאָרים (אָדער אַמאָל קיסריִיִם),
קיסרות,קייסאָרעס,
קיצבה (אָדער אַמאָל קצבה),קיצווע,
קיצור (אָדער אַמאָל קצור),קיצער,
קיצורים,קיצורים,
קיצור־הדבר,קיצער־האַדאָווער,
קיצור־ימים,קיצער־יאָמים,
קיר״ה,קירע,
קירבות,קירוועס,
קישוי־אבר (אָדער אַמאָל קשוי־אבר),קישע־אייווער,
קל,קאַל,
קלים,קאַלים,
קל־וחומר,קאַל־וועכוימער,
קל־שבקלים,קאַל־שעבעקאַלים,
קלות,קאַלעס,
קלות־דעת,קאַלעס־דאַאַס,
קלות־ראש,קאַלעס־ראָש,
קליפה (אָדער אַמאָל קלפה),קליפּע,
קליפות,קליפּעס,
קללה,קלאָלע,
קללות,קלאָלעס,
קללות־וחרמות,קלאָלעס־אוכראָמעס,
קללות־נימרצות,קלאָלעס־נימראָצעס,
קלסתר־פנים,קלאַסטער־פּאָנעם,
קלפי,קאַלפּע (אָדער אַמאָל קאַלפֿע),
קמיע,קאַמייע,
קמיעות,קאַמייעס,
קמיצה,קמיצע,
קמץ,קאָמעץ,
קמץ־אלף,קאָמעץ־אַלעף,
קמצן,קאַמצן,
קמצנים,קאַמצאָנים,
קמצנות,קאַמצאָנעס,
קנאות,קאַנאָעס,
קנאי,קאַנאָיִ,
קנאים,קאַנאָיִם,
קנוניא,קנוניע,
קנוניות,קנוניעס,
קניה,קניִע,
קניות,קניִעס,
קנין,קיניען,
קנינים,קיניאָנים,
קנס,קנאַס,
קנסים,קנאָסים,
קערה,קאַאַרע (אָדער אַמאָל קײַרע),
קערות,קאַאַרעס,
קפדן,קאַפּדן,
קפדנים,קאַפּדאָנים,
קפדנות,קאַפּדאָנעס,
קפיצת־הדרך,קפֿיצעס־האַדערעך,
קפריסין,קאַפֿריסן,
קץ,קעץ,
קצב,קאַצעף‏[2],
קצבים,"(אָדער אַמאָל קאַצעוו לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,קאַצאָווים,
קצבות,קאַצאָוועס,
קצין,קאָצן,
קצינים,קצינים,
קצינה,קצינע,
