Base,Romanized,Yiddish,Gloss,Definition
,,שטיי^געריש א,,бытовой
,,"שטייגראָד וו, ז ..רעדער",,балансир (часов)
,,שטיייִק א,,стоячий (не проточный)
,,שטייל א,,"крутой, обрывистый; отвесный"
,,שטיין ¹ מ ־ער,,1. камень
,,אַ שטיין אין וועג,,"препятствие, помеха;"
,,"עס איז מיר אַראָ^פּ אַ שטיין פון האַרצן
",,у меня камень с души свалился
,,לייג׀ן דאט. שטיינער אין וועג,,ставить
,,גיס׀ן ווי אויף אַ שטיין,,"пить запоем,"
,,שטיין רייך,,несметно богатый
,,"שטיי׀ן ² * (מיר/זיי שטייען; איז געשטאַנען)
",,1. стоять (находиться в вертикальном
,,ווי ער/זי/עס שטייט און גייט,,каков он/
,,"דער אמת [עמעס] ווי ער שטייט און גייט
",,правда без прикрас
,,דער צוג שטייט דאָ דריי מינו^ט,,поезд
,,דער זייגער שטייט,,часы стоят
,,די פאברי^ק שטייט,,фабрика стоит
,,די שטאָט שטייט ביי אַ טייך,,город стоит
,,די זון שטייט הויך אין הימל,,солнце стоит
,,ס'שטייט אַ גרויסע היץ,,стоит сильная
,,שטיין ליידיק,,"стоять/быть пустым,"
,,שטיין אויף פּאָס. זייט,,быть на чьей-л.
,,עס שטייט אין דער תּורה [טוירע [,,это
,,"אייער פאַמי^ליע־נאָמען שטייט אינעם
",,צעטל	ваша фамилия стоит/значится/
,,l שטיין פאַר,,1) стоять лицом к...
,,שטיין פאַר אַ געפאַ^ר,,стоять перед лицом
,,עס שטייט פאַר אונדז די פראַגע,,перед
,,שטיין פאַר פאָלק,,стоять за народ
,,l בלייב׀ן שטיין,,"1) останавливаться, стать"
,,"שטיין־און־ביי^ן:
",,ליי^קענ׀ען שטיין־און־ביין	полностью
,,שטיינבאָק מ,,"1. каменный козёл, козерог"
,,שטיינדל ז ־עך (דימ. פון שטיין),,тж. галька
,,"שטיינזאַלץ וו, ז",,каменная соль
,,"שטיינס געזאָ^גט אינט. זען מישטיינס געזאָגט
",,שטיי^נער(ד)יק א	каменистый
,,שטיי^נערן א,,каменный (из камня)
,,שטיי^נקוילן מצ.,,каменный уголь
,,"שטיי^נשניידער מ =, ־ס",,1. резчик
,,שטייסל ז ־ען,,ступ(к)а
,,"ד׀אָס איי^בערשט׀ע פון שטייסל
",,1) пест(ик)
,,שטיי^ענדיק 1. א,,стоя^щий; стоячий
,,אַ שטייענדיק׀ער קאָלנער,,стоячий
,,שטייענדיק וואַסער,,стоячая вода
,,שטיי^ענדיק 2. אדוו.,,"стоя, в стоячем"
,,שטייער מ ־ן,,налог
,,געב׀ן* (דאט.) צו שטייער,,сделать подарок
,,שטייף 1. א,,1. твёрдый (с трудом
,,שטייפ׀ער קאַרטאָ^ן,,твёрдый/плотный
,,שטייפע האָר,,жёсткие волосы
,,אַ שטייפ׀ער קאָלנער,,жёсткий/тугой
,,אַ שטייפ׀ער קנופּ,,тугой/крепкий узел
,,שטייף 2. אדוו.,,"1. туго, плотно"
,,שטייף אָ^נ׀פּאַק(עווע)׀ן דעם זאַק,,туго/
,,"שטייף צו^׀דריק׀ן די הענט צו די זייטן
",,плотно прижать руки к бокам;
,,שטייף איי^נ׀ציִ׀ען דעם שניפּס,,туго
,,ער האַלט זיך שטייף,,он держится
,,שטייפ׀ן זיך (געשטיי^פט זיך),,утрачивать
,,שטייפקייט וו,,"1. твёрдость, плотность"
,,שטיכל ז ־עך,,1. гравирование; гравюра
,,שטיל ¹ 1. א,,"1. тихий, негромкий;"
,,אַ שטיל קול [קאָל],,тихий голос
,,מיט שטילע טריט,,тихими/неслышными
,,אַ שטיל׀ע הסכּמה [האסקאָמע],,молчаливое
,,אַ שטיל׀ער אומעט,,тихая печаль
,,אַ שטיל׀ער אָוונט,,тихий вечер
,,אַ שטיל געסל,,тихий/глухой переулок
,,אַ שטיל׀ער טייך,,тихая/спокойная река
,,אַ שטיל׀ער טאָג,,тихий/
,,אין צימער איז שטיל,,в комнате тихо
,,אין שטאָט איז שטיל,,в городе тихо/
,,אַ שטיל קינד,,тихий/спокойный ребёнок
,,אַ שטיל פערד,,спокойная/смирная
,,שטיל ¹ 2. אדוו.,,"1. тихо, негромко;"
,,רעד׀ן שטיל,,говорить тихо
,,וויינ׀ען שטיל,,плакать тихо/беззвучно
,,זיצ׀ן שטיל,,сидеть тихо/спокойно/
,,שטיל ¹ 3. וו,,"молчание, тишина;"
,,"שטיל ² וו, מ ־ן",,"ручка, рукоятка; черенок"
,,שטי^לינקערהיי^ט אדוו.,,"1. тихо(нько),"
,,שטי^ללעבן ז ־ס,,натюрморт
,,שטיל׀ן (געשטי^לט),,1. успокаивать
,,שטילן דעם ווייטיק,,успокоить/унять боль
,,שטילן דעם צאָרן,,унять гнев
,,שטילן דעם הונגער/דאָרשט,,утолить
,,"שטילנע אדוו. זען שטשילנע
",,"שטי^לערהיי^ט אדוו.	1. тихо, бесшумно,"
,,שטילערהייט זינג׀ען,,потихоньку/
,,שטילקייט וו,,"тишина, тишь; молчание,"
,,שטי^לשווייגן ז,,молчание
,,אַ מינו^ט שטילשווייגן,,минута молчания
,,שטילשטאַנד מ ־ן,,затишье (временное
,,שטים וו ־ען,,1. голос (колебание
,,אָ^פּ׀געב׀ן* די שטים,,"отдавать голос,"
,,שטי^ם..,,1) голосовой; вокальный
,,שטימונג וו ־ען,,"настроение, расположение"
,,"שטימיק א:
",,שטימיקע קאָנסאָנאַנטן	звонкие согласные
,,"שטימע וו ־ן זען שטים
",,"שטימ׀ען (געשטי^מט)	1. голосовать,"
,,"שטימען פאַרן פאָרשלאָג/קאַנדידאַ^ט
",,голосовать за предложение/кандидата
,,l שטימען מיט,,"1) соответствовать,"
,,"שטימפּ מ זען שטומפּ
",,"שטי^מצעטל מ, ז ־ען, ־עך избирательный"
,,שטימרעכט ז,,право голоса
,,"שטינקע וו ־ס זען סטינקע
",,שטינק׀ען (געשטונקען)	дурно/неприятно
,,שטינקען מיט,,вонять/отдавать чем-л.
,,"שטינקפאַס וו, ז ..פעסער",,1. вонючая бочка;
,,"שטיפּעליאַווע א זען שעפּעליאַווע
",,שטי^ף..	неродной (о члене семьи);
,,שטיפמאַמע,,мачеха
,,שטיפטאַטע,,отчим
,,שטיפברודער,,сводный брат;
,,שטיפט מ ־ן,,гвоздик; штифт(ик); шпенёк;
,,שטיפטל ז ־עך (דימ. פון שטיפט),,тж.
,,שטיפ׀ן (געשטי^פט),,"шалить, резвиться,"
,,שטיפער מ ־ס (וו ־קע),,"шалун, баловник;"
,,שטיפעריי^ ז ־ען,,"шалость, шалости,"
,,שטי^פעריש א,,"шаловливый, резвый;"
,,שטיפקינד ז ־ער,,1. пасынок
,,שטיצ׀ן (געשטי^צט),,1. поддерживать
,,"שטיצן דעם קאַנדידאַ^ט/דעם פאָרשלאָג
",,поддержать кандидата/предложение
,,שטיצן די איניציאַטי^וו,,поддержать/
,,l שטיצן זיך אויף,,"1) опираться на кого-л.,"
,,שטיצע וו ־ס,,"1. поддержка, помощь;"
,,שטיצער מ ־ס (וו ־ין),,покровитель;
,,"שטיק ¹ 1. ז, וו ־ער",,1. кусок; часть
,,צערייס׀ן אויף שטיקער,,разорвать
,,שטיק ¹ 2. מצ.,,"капризы, фокусы; шутки,"
,,מאַכ׀ן (פוילע) שטיק,,"1) капризничать,"
,,שטיק ² מ ־עס,,штык
,,שטי^קאַרבעטער מ ־ס (וו ־ען),,сдельщик
,,שטיקל ז ־עך (דימ. פון שטיק ¹ ),,1. кусочек
,,אויף שטיקלעך,,"на куски/части, в клочья;"
,,שטיקל ברויט,,кусок хлеба прям.
,,שטיקל זייף,,кусок/брусок мыла
,,שטיקל פּאַפּי^ר,,"кусочек бумаги, бумажка"
,,שטיקל גלאָז,,"кусочек стекла, стёклышко"
,,שטיקל וועג,,кусок/участок/отрезок
,,שטיקל ערד,,кусок/участок/клочок
,,שטיקל אַרבעט,,"1) работа (то, что"
,,"4.:
",,"אַ שטיקל נאָמ. 1) немного; небольшой,"
,,אַ שטיקל צייט,,некоторое время;
,,"אַ שטיקל מחלוקת [מאכלויקעס]
",,"небольшая ссора, (небольшая)"
,,האָב׀ן* אַ שטיקל מחלוקת,,немного
,,האָב׀ן* אַ שטיקל דעה [דייע [,,иметь
,,ער איז אַ שטיקל דאָקטער,,тж. он имеет
,,שטי^קלעכווייז אדוו.,,"по частям,"
,,שטיק׀ן ¹ (געשטי^קט),,душить
,,שטיק׀ן ² (געשטי^קט),,вышивать
,,"שטיקע וו ־ס זען שטיק ²
",,"שטי^קעדיק א	душный, удушливый"
,,שטיקעכץ ז,,вышивка
,,שטי^קעניש ז,,1. духота
,,שטיקשטאָף מ,,азот
,,"שטי^ק־שטי^קלעך:
",,אויף שטיק־שטיקלעך на мелкие
,,"שטירדעס ז זען סטירדעס
",,שטירניק מ ־עס זען פּליטניק
,,"שטי^רע׀(נע)ן (געשטירעט) (אויף)
",,пристально смотреть на...; уставиться
,,שטעג מ ־ן,,"1. троп(к)а, тропинка;"
,,"שטעט מצ. זען שטאָט
",,שטעטל ז ־עך (דימ. פון שטאָט)	1. городок
,,וואָס הערט זיך אין שטעטלЯ,,что
,,"3.:
",,באַשטיי^׀ן* פּאָס. שטעטל	обходиться/
,,ער וועט באַשטיין זיין שטעטל,,тж. он
,,שטע^טלדיק א,,местечковый
,,שטעטלש א,,местечковый (относящийся
,,שטעך ¹ מ,,"мена, обмен (вид торговли)"
,,"שטעך ² מצ. זען שטאָך 2.
",,שטע^כווערטל ז ־עך	обидное/язвительное
,,שטעכיק א,,"1. колючий, колкий,"
,,שטע^כלדיק א,,"колючий (с колючками,"
,,"שטע^כלדראָט מ, ז ־ן",,колючая проволока
,,"שטע^כל־חזיר [־כאזער] מ ־ים [..זיירים]
",,дикобраз
,,שטעכלער מ ־ס,,ёж
,,שטע^כלקע וו ־ס,,колючка; шип
,,"שטע^כמעסער מ, ז ־ס",,кинжал
,,שטעכ׀ן (געשטאָכן),,1. колоть (касаться
,,"l שטעכן אומפּ. דאט. אין:
",,עס שטעכט מיר אין אַ זייט	у меня колет
,,"שטע^כעדיק א זען שטעכיק
",,"שטע^כעווע׀ן (געשטע^כעוועט)	менять,"
,,שטעכעליר׀ן (שטעכעלי^רט),,"язвить,"
,,שטע^כעניש ז,,"колющая боль, колотьё;"
,,שטעל 1. וו ־ן,,1. ларёк; (рыночная)
,,"3.:
",,"אויף דער שטעל	на месте, тут же, сразу"
,,שטעל 2. מ ־ן,,"осанка, выправка;"
,,"שטעלונג וו ־ען (וועגן, צו, בנוגע [בענעגייע])
",,"позиция, взгляд, точка зрения,"
,,שטעלכל ¹ ז ־עך (דימ. פון שטאַל),,сарайчик
,,שטעלכל ² ז ־עך (דימ. פון שטעל),,"ларёчек,"
,,"שטעלמאַך מ ־ן זען סטעלמאַך
",,שטעל׀ן (געשטע^לט)	1. ставить
,,"שטעלן דאָס קינד אויף דער באַנק
",,поставить ребёнка на скамью
,,"שטעלן די ביכער אויף דער פּאָ^ליצע
",,поставить книги на полку
,,שטעלן דאָס געשי^ר אויפן טיש,,поставить
,,"שטעלן דעם זייגער אויף ווייטער
",,поставить/перевести часы вперёд
,,שטעלן די שטים דעם זינגער,,поставить
,,שטעלן מינעס,,поставить/установить
,,שטעלן אַ ספּעקטאַקל/אַ פילם,,поставить
,,שטעלן משקה [מאשקע],,поставить
,,שטעלן או^גערקעס,,засолить огурцы
,,שטעלן ווי אַ/אַלס תּנאי [טניי],,поставить
,,"4.:
",,שטעלן דאט. פּאָקן	прививать оспу кому-л.
,,l שטעלן אויף,,"1) ставить, делать ставку"
,,l שטעלן אויף זיך,,"быть уверенным в себе,"
,,l שטעלן זיך,,"1) становиться, вставать"
,,שטעלן זיך פאַרן גערי^כט,,предстать
,,שטעלן זיך צום פּריזי^וו,,явиться
,,"ס'שטעלט זיך אַ קאַלטער וועטער
",,устанавливается холодная погода;
,,"אין דער גאַנצער ברייט שטעלט זיך די
",,פראַגע	во весь рост встаёт вопрос
,,"ס'האָבן זיך אים געשטעלט טרערן אין די
",,אויגן	у него на глаза набежали/
,,"7):
",,שטעלן זיך פאַר	становиться на чью-л.
,,שטעלן זיך קעגן,,выступать против
,,שטעלע וו ־ס,,"должность, место; служба"
,,האַלב׀ע שטעלע,,(работа на) полставки
,,"שטעלער מ =, ־ס",,"отчаянный человек,"
,,"שטע^ל־פאַרטרעטער מ =, ־ס (וו ־ין)
",,заместитель
,,שטעמפּל מ ־עך,,1. печать; штемпель;
,,"שטעמפּל׀ען (געשטעמפּלט)
",,1. штемпелевать; ставить печать/штамп
,,שטעמפּלען אק. ווי/פאַר,,заклеймить
,,שטענגל ז ־עך (דימ. פון שטאַנג),,"тж. ножка,"
,,שטענדיק 1. א,,"1. постоянный, всегдашний,"
,,שטענדיקע ווינטן,,постоянные ветры
,,שטענדיקע קריגערייען,,постоянные/
,,שטענדיקע קונים [קוינים],,постоянные
,,אַ שטענדיק׀ע אַרבעט,,постоянная работа
,,שטענדיק 2. אדוו.,,"всегда, постоянно"
,,אויף שטענדיק,,навсегда; навек(и);
,,שטענדער מ ־ס,,"столик (в синагоге),"
,,שטעפּל ז ־עך,,"стежок; стёжка, строчка"
,,שטעפּ׀ן (געשטע^פּט),,"1. стегать,"
,,"שטעפּסל מ, ז ־ען",,штепсель
,,"שטעפּער מ =, ־ס (וו ־קע)",,заготовщик
,,שטעקל ז ־עך (דימ. פון שטעקן),,"1. палочка,"
,,"שטעקן ¹ מ (מצ. ־ס, שטע^קענעס, דימ. שטעקל)
",,палка
,,שטעק׀ן ² (געשטע^קט),,1. совать
,,שטעקן דאט. אַ האַנט,,сунуть кому-л. руку
,,"שטעקן דאט. אק. אין די הענט (אַריי^ן)
",,сунуть/ткнуть кому-л. что-л. в руки
,,"דער טשוואָק שטעקט פעסט אין דער ברעט
",,гвоздь сидит крепко в доске
,,דער שליסל שטעקט אינעם שלאָס,,ключ
,,l שטעקן אין,,1) быть погружённым/
,,"אין אָט דעם טאַקע שטעקט די געפאַ^ר
",,в этом-то таится опасность
,,"אין די דאָ^זיקע ווערטער שטעקט אַ טיפער
",,זין	в этих словах скрыт/заключается
,,דאָ מוז עפּעס שטעקן,,"тут что-то неладно,"
,,l בלייב׀ן שטעקן,,"застревать, (в чём-л."
,,l שטעקן זיך,,"вмешиваться, ввязываться"
,,שטעק(ט) זיך ניט!,,не суйся (..йтесь)
,,שטעקשוך מ ..שיך,,домашняя туфля;
,,שטער ¹ מ ־ן,,"помеха, загвоздка"
,,שטער ² מ ־ן,,осётр; осетрина
,,שטערבלעך 1. א,,смертный
,,שטערבלעך 2. אדוו.,,"смертельно (так,"
,,שטע^רבלעכקייט וו,,смертность
,,שטערונג וו ־ען,,"преграда, препятствие,"
,,שטערן ¹ מ ־ס,,лоб
,,קו^פּערנ׀ער שטערן,,"бесстыдник; наглец,"
,,שטערן ² מ = (דימ. שטערנדל),,звезда
,,פאַ^לנדיק׀ער שטערן,,падающая звезда
,,שטער׀ן ³ (געשטע^רט) (דאט.),,мешать
,,שטערן אק.,,нарушать (не давать
,,שטערן דאט. צו אינפ.,,"мешать,"
,,שטע^רנבאַנד מ ..בענדער,,диадема
,,שטע^רנדיק א,,звёздный (с хорошо
,,שטערנדל ז ־עך (דימ. פון שטערן),,тж.
,,שטע^רן־זעער מ ־ס (וו ־ין),,астролог;
,,שטע^רן־זעעריי ז,,астрология
,,שטע^רן־טיכל ז ־עך,,старинный женский
,,שטע^רנשיס מ,,"этит, орлиный камень"
,,שטערער מ ־ס (וו ־קע),,нарушитель
,,שטערצל ז ־עך,,крышка (кастрюли
,,"שטר [שטאר] מ ־ים [שטאָרים], ־ות
",,[שטאָרעס]	1. документ юр.
,,שטראָז מ ־ן,,"улица (мощёная), шоссе"
,,שטראָך מ ־ן,,"штрих, черта, чёрточка"
,,שטראַל מ ־ן,,луч
,,שטראַל׀ן (געשטראַ^לט),,1. испускать лучи;
,,שטראַ^לנדיק א,,лучистый; сияющий;
,,"שטראַם בלויז אין גראַם־שטראַם
",,"שטראָם ¹ מ ־ען	1. (по)ток, течение; струя"
,,מיטן שטראָם,,по течению
,,קעגן שטראָם,,против течения
,,מע^נטשנשטראָם,,людской поток
,,ווע^רטערשטראָם,,поток слов
,,שטראָם־אַראָ^פּ אדוו.,,вниз по течению
,,שטראָם־אַרוי^ף אדוו.,,вверх по течению
,,שטראָמיק א,,"стремительный,"
,,שטראָמ׀ען (געשטראָ^מט),,"течь, литься"
,,"שטראָמקע וו ־ס זען סטראָמקע
",,שטראָמשוועל וו ־ן (речной) порог
,,שטראַנד מ ־ן,,"побережье, взморье"
,,שטראַף מ ־ן,,штраф
,,שטראָף וו ־ן,,"1. наказание, кара;"
,,שטראָ^פ..,,карательный; уголовный;
,,שטראַפיר׀ן (שטראַפי^רט),,штрафовать
,,שטראָפ׀ן (געשטראָ^פט),,"1. наказывать,"
,,שטראָפרייד מצ.,,"порицание, порицания,"
,,שטרודל מ ־ען,,род пирога с (фруктовой)
,,שטרוי וו,,солома
,,קיי׀ען שטרוי,,1) переливать из пустого
,,"2):
",,גיב אים שטרוי צו קייען	можешь его
,,שטרויזאַק מ ..זעק,,соломенный тюфяк
,,שטרויכלונג וו ־ען,,"препятствие, препона;"
,,שטרויכל׀ען (געשטרויכלט),,заставлять
,,שטרוי^כלשטיין מ ־ער,,камень
,,"שטרויס מ (מצ. ־ן), שטרוי^ספויגל
",,מ (מצ. ..פייגל)	страус
,,שטרוי^עלע ז ־ך,,соломин(к)а
,,שטרויען א,,1. соломенный
,,"2.:
",,"שטרויענ׀ער קאָזאַק	лжегерой, трус"
,,שטר־חוב [שטארכוי^וו] מ ־ות,,долговое
,,"שטר־חצי־זכר [שטאר־כאָציזאָ^כער] מ
",,"документ, по которому дочь"
,,שטרייט מ ־ן,,1. спор; схватка
,,"שטרייט׀ן (געשטריי^ט, געשטריטן)",,спорить
,,"שטרייכ׀ן ¹ (געשטראָכן, געשטריכן)
",,1. вычёркивать
,,"שטרייכ׀ן ² זיך (געשטרייכט זיך) (צו, ארום)
",,"искать чьего-л. расположения,"
,,"שטרייכער מ =, ־ס",,"меховщик, скорняк"
,,"שטריימל ז ־עך, ־ען",,штраймл –
,,"פון אַ חזירשן [כאזערשן] עק קען מען קיין
",,שטריימל ניט מאַכן	погов. нельзя пошить
,,שטרייק מ ־ן,,"забастовка, стачка"
,,"שטריי^קברעכער מ =, ־ס (וו ־ין)
",,штрейкбрехер
,,שטרייק׀ן (געשטריי^קט),,бастовать
,,"שטרייקער מ =, ־ס (וו ־קע)",,забастовщик;
,,שטריך מ ־ן,,"1. штрих, черта, чёрточка"
,,שטריכיר׀ן (שטריכי^רט),,штриховать
,,שטריכל׀ען (געשטריכלט),,отмечать
,,שטריצל ז ־עך,,пирог со смородиной
,,"שטריק מ, וו =",,"верёвка, (тонкая тж.)"
,,"שטריקל ז ־עך (דימ. פון שטריק)
",,"1. верёв(оч)ка; бечёвка, шпагат;"
,,שטרי^קלייטער מ ־ס,,верёвочная лестница
,,שטריק׀ן (געשטרי^קט),,вязать (спицами)
,,שטריקעריי^ ז,,вязание
,,שטר־מכירה [שטאר־מעכי^רע] מ,,купчая
,,שטרעבונג וו ־ען (צו),,"стремление (к...,"
,,שטרעב׀ן (געשטרע^בט) צו,,стремиться
,,שטרעבן צו שלום [שאָלעם],,стремиться
,,"שטרעבן אָ^נצוקומען אין אוניווערסיטע^ט
",,стремиться поступить в университет
,,שטרעמונג וו ־ען,,1. течение геогр.
,,שטרענג 1. א,,"1. строгий, требовательный,"
,,אַ שטרענג׀ער לערער,,строгий учитель
,,אַ שטרענג׀ער אורטייל,,суровый приговор
,,שטרענגע מאָ^סמיטלען,,строгие/крутые/
,,אַ שטרענג׀ער בליק,,суровый/грозный
,,אין שטרענגן זינען פונעם וואָרט,,в строгом
,,אַ שטרענג׀ע דיעטע,,строгая диета
,,אַ שטרענג׀ער גראַפיק,,жёсткий график
,,שטרענג 2. אדוו.,,1. строго; сурово
,,שטרענג באַשטראָפ׀ן,,строго/сурово
,,שטרענג אַ קוק טאָ׀ן*,,строго/сурово
,,"שטרענג האַלט׀ן זיך ביי די כּללים [קלאָלים]
",,строго следовать правилам
,,ס'איז שטרענג פאַרבאָטן,,строго
,,שטרעק׀ן (געשטרע^קט),,"протягивать,"
,,שטרעקן זיך,,"растягиваться,"
,,שטרעקע וו ־ס,,"расстояние, протяжение,"
,,שטר־קבלה [שטאר־קאבאָ^לע] מ,,расписка
,,"שטשאָגעל מ ־ס, ־ן",,"щёголь, франт,"
,,שטשאָדרען מ ־ס,,щедрый человек
,,"שטשאַוו(יי^) מ, שטשאַוויע וו זען שטשאַוועל
",,שטשאַוועל מ	щавель
,,"שטשאָט מ ־ן, ־עס",,1. счёт
,,שטשאָך מ ־עס,,"тот, кто мочится в постель"
,,שטשאָכע׀ן (געשטשאָכעט),,мочиться
,,שטשאָקע וו ־ס,,скула
,,שטשופּלע א,,"щуплый, тщедушный"
,,"שטשופּע׀ן (געשטשופּעט) זען שטשיפּען
",,שטשור מ ־עס	крыса
,,"שטשיזליק מ ־עס זען טשיזשליק
",,"שטשילנע אדוו.	плотно, накрепко, наглухо"
,,שטשימע׀ן (געשטשימעט),,"сжимать,"
,,שטשיפּיאָר מ,,лук-шалот
,,"שטשיפּילאַווע א, אדוו. זען שעפּעליאַווע
",,שטשיפּע׀ן (געשטשיפּעט)	щипать
,,שטשיפּצע וו ־ס,,ед. и мн. щипцы
,,שטשיפּקעס מצ.,,фрикадельки
,,שטשירע א,,"настоящий, подлинный,"
,,שטשירע׀ן (געשטשירעט) די ציין,,скалить/
,,"שטשירעץ מ, שטשירקע וו זען סצירקע
",,שטשעדראָ^ן מ ־עס זען שטשאָדרען
,,שטשעטינע וו ־ס,,щетина
,,"שטשעמע׀ן (געשטשעמעט) זען שטשימען
",,שטשעפּע׀ן (געשטשעפּעט)	прививать
,,"שטשעפּקע וו ־ס זען טשעפּקע ¹
",,"שטשערב מ ־עס, ־ן	щербина, зазубрина"
,,"שטשערווע וו ־ס זען סטערווע
",,"שיבוש [שיבעש] מ ־ים [שיבושים]	пустяк,"
,,שיב׀ן (געשי^בט),,1. толкать (впереди себя)
,,שיבעה [שיווע] וו,,семь дней траура
,,זיצ׀ן שיבעה (נאָך),,соблюдать
,,שיבעה־ימים [שיווע־יא^מים] מצ.,,семь
,,שיבעה־מדורי־גיהנום [שיווע־מעדו^רע־ג(עה)ע^נעם] מצ.,,семь
,,שיבעים [שיווים] מצ.,,семьдесят (лет)
,,שי^בעניק מ ־עס (וו ..ניצע),,"мошенник,"
,,"שיבער מ =, ־ס",,"1. работник, сажающий"
,,"שיברות־(ה)לב [שיוורעס־(הא)לע^וו] ז
",,"глубокая печаль; душевная боль,"
,,שיברי־כּלי [שיוורע־קיי^לע] וו ־ס,,старая
,,שיברי־לוחות [שיוורע־לו^כעס] מצ.,,обломки
,,"שיגעון מ ־ען, ־ות זען שגעון
",,"שידוך [שידעך] מ ־ים [שידוכים]	1. брак,"
,,טאָ׀ן* אַ שידוך,,вступить в брак
,,שטיי׀ן* אין שידוכים,,достичь брачного
,,רעד׀ן דאט. אַ שידוך,,сватать кого-л.
,,"שיהי־פּיהי זען שהי־פּהי
",,שי^ווערשטיין מ זען שיפערשטיין
,,"שיטה [שיטע] וו (מצ. שיטות)
",,"1. направление, школа"
,,"שיט׀ן (געשאָטן, געשי^ט)",,1. сыпать
,,"2.:
",,עס שיט אַ שניי	идёт/сыпется снег
,,l שיטן מיט,,"сыпать чем-л., сорить что-л.,"
,,l שיטן זיך,,сыпаться (падать);
,,שיטער א,,1. жидкий (водянистый)
,,די זופּ איז אַ שיטערע,,суп жидкий
,,שיטער׀ע בלאָטע,,"жидкая грязь, жижа"
,,שיטער׀ע טיי,,жидкий чай
,,שיטערע האָר,,редкие/жидкие волосы
,,אַ שיטער׀ער וואַלד,,редкий/жидкий лес
,,אַ שיטער׀ע זיפּ,,редкое сито
,,האָב׀ן* שי^טערע הענט/פינגער,,быть
,,"שייבל ¹ ז ־עך דימ. זען שויב
",,"שייבל ² ז ־עך	прокладка, шайба"
,,שייגעץ מ (מצ. שקצים [שקאָצים]),,1. обычно
,,"שיי^געצדיק, שייגעצעוואַטע א",,"наглый,"
,,"שייד וו, מ ־ן",,1. футляр
,,שיי^דוואַסער ז,,концентрированная
,,שיידוועג מ ־ן,,"пересечение дорог,"
,,אויפן/אויף אַ שיידוועג,,на перепутье/
,,דאָ איז אַ שיידוועג,,тж. дорога здесь
,,שיידל ¹ ז ־עך (דימ. פון שייד),,1. футляр
,,"שיידל ² ז ־ען, ־עך",,"черепная коробка,"
,,"שייד׀ן זיך (געשיי^דט זיך) (מיט)
",,"разлучаться, расставаться с кем-л."
,,"שייט מ, ז ־ן",,полено
,,"שייטל ז ־ען, ־עך",,парик (носимый
,,שייטל ז ־עך (דימ. פון שייט),,"кусок дерева,"
,,"ניט קענ׀ען* (צעהאַקן) קיין שייטל עברי
",,[איוורע]	совершенно не уметь читать
,,שייטער מ ־ס,,костёр
,,שיי^טער־הויפן מ ־ס,,костёр (для казни)
,,"שייך [שייעך] א פּרעד.:
",,"זיין* שייך צו	относиться, иметь"
,,וואָס שייך דאט.,,что касается...
,,וואָס איז שייךЯ,,к чему об этом говоритьЯ
,,ניט שייך,,нечего и говорить
,,שייכות [שייכעס] ז ־ן,,"отношение,"
,,האָב׀ן* (אַ) שייכות צו,,"относиться, иметь"
,,איך האָב צו דע^ם קיין שייכות ניט,,тж. я
,,שייל׀ן (געשיי^לט),,чистить (снимать
,,שיילן זיך,,"шелушиться, лупиться"
,,"שיים אדוו. זען שוין
",,"שיימע וו (מצ. ־ס, שמות [שיימעס])	обрывок"
,,ניט קיין שיינע מעשׂה [מייסע],,некрасивая/
,,ניט קיין שיינע ראָל(י)ע,,некрасивая/
,,"ס'האָט זיך באקומען זייער ניט שיין
",,получилось очень некрасиво
,,שיינע ווערטער,,красивые/громкие слова
,,היינט איז אַ שיינער וועטער,,сегодня
,,אַ שיינ׀ער טאָג,,хороший/погожий день
,,אַ שיינע מעשׂה [מייסע] !,,хороше(нько)е
,,"א שיין פּנים [פּאָנעם] וואָלסטו געהאַ^ט,
",,"ווען	хорош бы ты был, если..."
,,"ס'איז נאָך געבליבן אַ שיין ביסל צו גיין
",,идти ещё порядочно/хороший кусок
,,שיין 2. אדוו.,,"1. красиво, прекрасно;"
,,זי זינגט שיין,,она красиво поёт
,,או^יפ׀פיר׀ן זיך ניט שיין,,нехорошо вести
,,שיין ¹ וו,,"1. свет, блеск, сияние; освещение"
,,דערזע^׀ן* די לי^כטיקע שיין,,увидеть свет
,,שיין ² מ ־ען,,"свидетельство, удостоверение"
,,שיינדלינג מ ־ען,,"украшение, гордость;"
,,שיינהייט וו ־ן,,1. красота
,,שיינע־מורנו [שיינע־מעריי^נע] מ,,ирон.
,,שיינ׀ען (געשיי^נט),,"1. светить, сиять"
,,ער האָט געשיינט פאַר פרייד,,он сиял
,,l שיינען דאט.,,казаться кому-л.
,,שיינקייט וו ־ן,,крас(от)а; изящество;
,,שיי^נראַקעט מ ־ן,,осветительная ракета
,,"שיי׀ען זיך (געשיי^ט זיך), שייע׀ן זיך
",,"(געשייעט זיך) (צו)	стесняться, проявлять"
,,שייער מ ־ן,,1. амбар; житница
,,שיי^ער׀ן (געשייערט),,чистить (оттирать
,,שייקע וו ־ס,,шайка (группа
,,שיירה [שאיאָרע] וו (מצ. שיירות),,1. караван
,,"שיך מצ. פון שוך
",,שיכבת־זרע [שיכוועס־זע^רע] וו
,,שיכּור [שיקער] 1. א,,"пьяный, хмельной"
