Base,Romanized,Yiddish,Gloss,Definition
,,פרייטיק 1. מ ־ן,,пятница
,,פרייטיק 2. אדוו.,,в пятницу; по пятницам
,,פרייטיק צו נאַכטס,,в пятницу вечером
,,פריי^טיקדיק א,,происходящий в пятницу/
,,פרייטיק־צו־נאַ^כטס מ ־ן,,"вечер пятницы,"
,,פרייליידיק א,,"не состоящий в браке,"
,,פרייליי^דיק׀ער מ דעק.,,одинокий
,,פריילין 1. וו ־ס,,"девушка, девица,"
,,פריילין 2. העפל. + וו,,госпожа (перед
,,פריילעך 1. א,,1. весёлый (полный
,,אַ פריילעכ׀ע שטימונג,,весёлое/радостное/
,,ס'איז פריילעך,,"весело в знач. сказ.,"
,,פריילעך 2. אדוו.,,"весело, радостно"
,,פריילעכס ז ־ן,,фрейлехс (весёлая
,,פריי^לעכקייט וו,,"веселье, весёлость"
,,פריינד 1. מ =,,друг; приятель
,,פריינד 2. העפל. + מ,,господин; товарищ
,,ליבע פריינד,,(официально) дамы
,,פריינדין 1. וו ־ס,,подруга
,,פריינדין 2. העפל. + וו,,госпожа
,,פריינדינע וו ־ס,,подруга
,,פריינדלעך 1. א,,"дружеский, приятельский;"
,,פריינדלעך 2. אדוו.,,"приветливо,"
,,פריי^נדלעכקייט וו,,"дружелюбие,"
,,פריינדשאַפט וו ־ן,,дружба
,,שליס׀ן פריינדשאַפט,,сдружиться
,,פריי׀ען (געפריי^ט) (אק.),,радовать
,,עס פרייט מיך זייער,,тж. очень приятно
,,פרייען זיך,,"радоваться, веселиться"
,,פרייצייט וו,,"свободное время, досуг"
,,פריִיִק א,,"ранний (прежний,"
,,צו פריִיִק,,преждевременный
,,פרייקייט וו ־ן,,"вольность, свобода"
,,פריישאַפט וו (צו אינפ.),,"свобода (чего-л.,"
,,פריישטאָט וו ..שטעט,,вольный город
,,פרילינג מ ־ען,,весна
,,פרי^לינגדיק א,,весенний; вешний
,,פרי^לינגצייט אדוו.,,"весной, весною"
,,פרימאָרגן מ ־ס,,1. утро
,,פריִער אדוו.,,1. раньше (более рано)
,,איך וועל דאָרט זיין פריִער,,я буду там
,,פריִער אָדער שפּעטער,,"раньше или позже,"
,,"פריִער גיב אַ טראַכט, דערנאָ^ך רעד",,прежде
,,דע׀ר פריִערדיק׀ער רעדנער,,предыдущий
,,אין דער פריִערדיקער דירה [דירע],,на
,,פריץ מ ־ן,,новичок (в каком-л. деле);
,,פרי^צייטיק א,,1. преждевременный;
,,פרי^צעווע׀ן (געפרי^צעוועט),,"обманывать,"
,,פריריק א,,"холодный, морозный"
,,"פריר׀ן (געפרוירן, געפראָרן)",,"1. мёрзнуть,"
,,פרירפּונקט מ ־ן,,точка замерзания
,,פריש 1. א,,1. свежий (недавно добытый
,,פריש׀ע לופט,,свежий воздух
,,אַ פריש ווינטל,,свежий ветерок
,,אַ פריש׀ער האַנטעך,,свежее полотенце
,,[קויכעס],,в полк прибыло свежее
,,אַ פריש׀ע וווּנד,,свежая/недавняя рана
,,נאָך די פרישע שפּורן,,по свежим/горячим
,,פרישע נייעס,,свежие/последние новости
,,אַ פריש׀ע צייטונג,,свежая газета
,,פרישע פאַרבן,,свежие/яркие/сочные
,,ס'איז (נאָך) פריש אין זכּרון [זיקאָרן],,(ещё)
,,אַ פריש אויסזען,,свежий/бодрый вид
,,אַ פריש׀ע געזי^כטפאַרב,,свежий/здоровый
,,פריש 2. אדוו.,,свежо; недавно
,,פריש געפאַ^רבט!,,окрашено!
,,פרי^ש־געבאַק_ן א,,1. свежеиспечённый
,,פרישטיק מ ־ן,,завтрак
,,פרי^שטיקן (געפרישטיקט),,завтракать
,,פרל' = פריילין,,г-жа (госпожа)
,,פרעג מ ־ן,,вопрос
,,פרע^ג..,,вопросительный
,,פרעגאַ^ט מ ־ן,,фрегат
,,פרע^גבויגן מ ־ס,,(в)опросный лист;
,,"פרעג׀ן (געפרע^גט) (אק., ביי)",,спрашивать;
,,פרעג מיך עפּעס גרינגערס,,спроси что
,,איך פרעג ניט נאָך אים,,он мне не указ
,,וואָ^ס פרעגסטו!,,1) что за вопросЯ
,,פרעג ניט!,,"не говори!, кто говорит!"
,,דו דאַרפסט נאָך פרעגןЯ,,ты ещё
,,פרעגן זיך,,возникать (о вопросе)
,,עס פרעגט זיך,,тж. спрашивается
,,פרע^גצייכן מ ־ס,,вопросительный знак
,,"פרעך א, אדוו.",,"наглый, дерзкий, нахальный,"
,,פרעמד 1. א,,1. чужой (не свой)
,,פרעמדע קינדער,,чужие дети
,,אַ פרעמד לאַנד,,чужая страна
,,מיט אַ פרעמדן אַקצע^נט,,с иностранным
,,קרעכצ׀ן או^נטערן פרעמדן יאָך,,стонать
,,אַ פרעמד׀ע או^מגעבונג,,непривычная
,,פרעמד 2. וו,,"чужбина, чужая сторона"
,,אין דער פרעמד,,"на чужбине, на чужой"
,,פרעמדוואָרט ז ..ווערטער,,иностранное
,,פרעמד׀ער מ דעק.,,"чужой, посторонний"
,,פרענק מ ־ען,,ист. турецкий еврей-сефард
,,פרעס מ,,обжорство; жратва
,,פרעסטל ז ־עך (דימ. פון פראָסט),,"морозец,"
,,פרעס׀ן (געפרעסן),,жрать
,,"פרעסער מ =, ־ס (וו ־קע)",,обжора
,,פרעסעריי^ וו ־ען,,обжорство
,,פרעקווע^נץ וו ־ן,,частота физ.;
,,צ,,צאַפּן
,,"צ [צאדעק] מ, וו",,восемнадцатая буква
,,צאָל ¹ וו ־ן,,1. число (элемент системы
,,אָן אַ צאָל,,"бесчисленные, неисчислимые,"
,,צאָל ² מ,,(таможенная) пошлина
,,צאָל ³ מ ־ן,,"дюйм (2,54 см)"
,,צאָלאַמט מ ־ן,,таможня
,,צאָלוואָרט ז ..ווערטער,,грам. имя
,,צאָלונג וו ־ען,,платёж
,,צאָ^ליווקע וו ־ס,,"дюймовая доска,"
,,צאָליק א,,численный; числовой
,,צאָל׀ן (געצאָ^לט),,платить
,,צאָלנע וו ־ס,,челнок
,,צאָ^לפעיִק א,,платёжеспособный
,,צאָלפריי א,,не подлежащий обложению
,,צאָלרייך א,,многочисленный
,,"צאַם, צאָם מ, וו ־ען",,"ограда, забор;"
,,צאַמ׀ען (געצאַ^מט),,"сдерживать,"
,,"צאָן מ (מצ. ציין, ציינער)",,1. зуб
,,פאַררעד׀ן דאט. די ציינ(ער),,заговаривать
,,קלעק׀ן אויף אַ צאָן,,хватать на один зуб
,,שאַרפ׀ן (זיך) די ציינער (אויף),,"целиться,"
,,שריי׀ען אויף די ציין,,кричать от боли
,,ביים קינד שניידן זיך ציין,,у ребёнка
,,ער האָט אויף דעם די ציין אוי^פגעגעסן,,он
,,צאן־קדשים [צוין־קאָדאָ^שים] מצ.,,«святая
,,צאַנקען ¹ מ ־ס,,брусок (металлический);
,,צאַנק׀ען ² (געצאַ^נקט),,"догорать, гаснуть,"
,,צאַפּ מ ־עס (דימ. צאַ^פּיקל),,козёл
,,"צאָפּ מ (מצ. צעפּ, דימ. צעפּל)",,1. коса
,,צאַפּל מ ־ען,,"вздрагивание, содрогание;"
,,צאַ^פּלדיק א,,"1. трепещущий, бьющийся;"
,,צאַפּל׀ען (זיך) (געצאַפּלט (זיך)),,"вздрагивать,"
,,צאַפּן ¹ מ ־ס (דימ. צעפּל),,"1. втулка, затычка"
,,צאַפּ_ן ² א,,козлиный
,,צאַפּ׀ן ³ (געצאַ^פּט),,"цедить, нацеживать"
,,צאַפּן בלוט ביי,,пускать кровь кому-л.
,,צאַ^פּן־בערדל ז ־עך,,козлиная бород(к)а
,,צאַ^פּן־לאַגער מ ־ס,,тех. подшипник
,,"צאַצע, צאַצקע וו ־ס",,1. игрушка;
,,צאַצקעוואַטע א,,разукрашенный
,,צאַצקען זיך מיט אַ קינד,,играть/
,,ער צאַצקעט זיך מיט ביכער,,он увлечён
,,צאַר מ ־ן,,царь (русский)
,,צאַראַפּע׀ן (צאַראַפּעט),,царапать
,,צאַרגע וו ־ס,,"1. обод, обруч"
,,צאַרט א,,"1. нежный (ласковый,"
,,אַ צאַרט׀ע הויט,,нежная кожа
,,צאַרטע געזי^כט־שטריכן,,мягкие/тонкие
,,צאַרטע באַווע^גונגען,,плавные движения
,,צאַרטקייט וו,,"1. нежность, ласковость;"
,,צאַריש א,,царский (монархический)
,,ד׀אָס צאַריש׀ע רוסלאַנד,,царская Àоссия
,,דע׀ר צאַריש׀ער רעזשי^ם,,царский режим
,,צאָרן מ,,"гнев, ярость; негодование"
,,צאָ^רענ׀ען (געצאָרנט) (אויף),,"быть в гневе,"
,,צבועטשע׀ן [צוווּ(י)אטשען] (צבועטשעט [צוווּ(י)אטשעט]),,"ханжить, лицемерить"
,,צבועטשקע [צוווּ(י)אטשקע] וו ־ס,,"ханжа,"
,,צבועק [צוווּ(י)א^ק] מ ־עס,,"ханжа, святоша"
,,צבועקיש [צוווּ(י)אקיש] א,,лицемерный;
,,צביעות [צוויִעס] ז,,лицемерие; ханжество;
,,צביעותדיק [צוויִ^עסדיק] א,,лицемерный
,,צב''ש = צום ביישפּיל,,напр. (например)
,,צד [צאד] מ (מצ. צדדים [צדאָדים]),,1. сторона
,,שטעל׀ן זיך אויף פּאָס. צד,,принимать
,,פון... צד,,по... (в названиях
,,צד,,дядя по матери/отцу
,,כּלהס [קאלעס]/חתנס [כאָסנס] צד,,семья
,,האָב׀ן* אַ צד אין טיש,,иметь руку
,,צדיק ¹ [צאדעק] מ ־ים [צאדיקים],,евр.
,,צדיק אין פּעלץ,,"ханжа, святоша; лицемер"
,,"צדיק ² [צאדעק] מ, וו ־ן",,цадик – название
,,לאַנג׀ע(ר) צדיק,,«длинный цадик» –
,,צדקה [צדאָקע] וו,,"1. благотворительность,"
,,געב׀ן* צדקה,,подавать милостыню
,,צדקה־ [צדאָ^קע־],,благотворительный
,,צדקתטע [צעדיי^קעסטע] וו (מצ. ־ס),,евр.
,,־שעקענע^גדע] מ,,"противная сторона,"
,,צו ¹ אדוו.,,"слишком; чересчур, больно;"
,,וואָס צו^ איז אי^בעריק,,любая крайность
,,צו ² 1. פּרעפּ.,,1. (обозначает направление
,,גיי׀ן* צו אַ דאָקטער,,идти/ходить
,,גיין צו דער אַרבעט,,идти/ходить
,,מעלדן זיך צום גערי^כט,,явиться в суд
,,פאָר׀ן צו אָדע^ס,,ехать в ¾дессу
,,ווי אַזוי^ קומט מען צו קרעשטשאַטיקЯ,,как
,,איך זאָג צו אים/צו מיין זון,,я говорю ему/
,,נעמ׀ען איי^נגעמאַכטס צו דער טיי,,взять
,,צו זיבן צו^געבן דריי,,к семи прибавить
,,שפּראַכן,,идиш относится к германским
,,צו אַלע צרות [צאָרעס],,в довершение всех
,,צו די אַלע זאַכן,,в довершение всего
,,צו אַ גלייכן חשבון [כעזשבן],,для ровного
,,צום פאַרקויפן,,для продажи
,,צום באַשטעלן,,на заказ
,,קומ׀ען צו הילף,,прийти на помощь
,,צום אָנדענק פון,,"в память кого-л., чего-л."
,,איך דאַרף האָבן עפּעס צו טאָן,,мне нужно
,,צו יעדער צייט,,в любое время
,,צו פיר יאָר,,"в четыре года, в возрасте"
,,צום סוף [סאָף] טאָג,,в конце дня;
,,נעמ׀ען צו גלעזלעך,,выпить по рюмочке
,,געב׀ן* צו רענדלעך,,дать по золотому
,,ביכער צו צען הריווניעס,,книги по десять
,,צו צוויי,,по два; по двое; попарно
,,צו דריי,,по три; по трое
,,צו ² 2. קאָנוו.,,придаёт глаголу различные
,,צו^׀שטופּ׀ן,,подтолкнуть
,,צו^׀בינד׀ן,,привязать
,,צו^׀בראָט׀ן,,ещё немного пожарить
,,צו^׀הוסט׀ן,,покашливать
,,צו^׀פייפ׀ן,,"подсвистывать, присвистывать"
,,צו^׀טראַסקע׀ן,,"закрыть с шумом,"
,,צו ² 3. א פּרעד.,,закрыт
,,די טיר איז צו,,дверь закрыта
,,צו ² 4. פּארטיקל,,часто служит
,,די מורא [מוירע] צו מאַכן אַ פעלער,,страх
,,ס'איז שווער צו זאָגן,,трудно сказать
,,זיך,,"нам тяжело видеть, как он мучится"
,,ניטאָ^ וואָס אָ^נצוקוקן,,не на что смотреть
,,צואה [צויע] וו,,"помёт; экскременты,"
,,צו^׀אייגענ׀ען (צו^געאייגנט),,присваивать
,,צו^׀אייל׀ן (צו^געאיילט),,"торопить,"
,,צו^׀באָמקע׀ן (צו^געבאָמקעט),,"1. подпевать,"
,,"צו^׀באַק׀ן (צו^געבאַקן, צו^געבאַקט)",,1. ещё
,,צו^׀בייג׀ן (צו^געבויגן) (צו),,"гнуть,"
,,צו^׀בייס׀ן 1. (צו^געביסן),,прикусывать
,,צו^בייסן 2. ז ־ס,,(лёгкая) закуска
,,צו^׀בינד׀ן (צו^געבונדן),,"привязывать,"
,,צובינדן זיך צו,,привязываться к...
,,צו^׀בעט׀ן (צו^געבעט),,стелить
,,צובער מ ־ס,,"ушат, кадка; бадья"
,,צו^׀ברוינ׀ען (צו^געברוינט),,подрумянивать
,,צו^׀ברענ׀ען (צו^געברענט),,пригорать;
,,צוג מ ־ן,,1. поезд; состав
,,צוגאָב מ ־ן,,"1. добавка, прибавка,"
,,צו^גאָב..,,"дополнительный; добавочный,"
,,צו^גאָבלעך א,,"дополнительный,"
,,צוגאַנג מ ־ען,,"подход (место, где"
,,זאַכן,,у него другой подход ко многим
,,צוגאַרטלען זיך,,подпоясываться
,,צוגווינט מ ־ן,,"сквозной ветер, сквозняк"
,,[צו^געגאזלט]) (ביי),,похищать у кого-л.
,,צו^׀גיי׀ן* (איז צו^געגאַנגען),,"проходить,"
,,צוגיין גלאַטיק,,пройти без осложнений
,,צוגיין (צו),,"1) подходить, приближаться"
,,צו^גיסן (צו^געגאָסן),,"подливать, приливать"
,,צו׀גנבע׀נען [צו^גאנווענען] (צוגעגנבעט [צו^געגאנוועט]),,(у)красть
,,צו^געבונד_ן א,,привязанный
,,צוגעבונדן איינער צום אַ^נדערן,,друзья
,,צו^געבונדנקייט וו,,"привязанность,"
,,צו^׀געב׀ן* (צו^געגעבן),,"1. прибавлять,"
,,צוגעבן קראַפט,,придавать силу/силы
,,צו^געברענט א,,"пригорелый, пригоревший;"
,,צו^געדולט א,,"помешанный, тронутый"
,,צו^געהעריקייט וו ־ן (צו),,принадлежность
,,געוואָרן),,1. прирастать
,,"צו^׀געוווינ׀ען (צו^געוווינט), צו^׀געוויינ׀ען (צו^געוויינט)",,приучать
,,צו^געלעגערט א,,"1. (за)лежалый,"
,,צו^גענגלעך א,,доступный
,,צו^געפּאַסט א,,1. приспособленный;
,,צו^געקאָוועט א פּרעד. (צו),,прикованный;
,,גוט צוגעשטאַנענע פענצטער,,хорошо
,,צו^׀גרייט׀ן (צו^געגרייט),,"готовить,"
,,צודאַט מ ־ן,,приклад (в портновском
,,צו^׀דינ׀ען (צו^געדינט) (דאט.),,"услужить,"
,,צודעק מ ־ן,,прикрытие (предмет);
,,צו^׀דעק׀ן (צו^געדעקט),,"покрывать,"
,,צו^׀דריק׀ן (צו^געדריקט),,"прижимать,"
,,צו^׀האַלט׀ן (צו^געהאַלטן),,держать
,,ווינט,,придержать рукой шляпу на
,,האַלט מיר צו אַ וויילע דאָס בוך,,подержи
,,"צוהאַלטן זיך (ביי, פאר)",,"держаться,"
,,צו^׀הובלעווע׀ן (צו^געהובלעוועט),,ещё
,,צו^׀הונגער׀ן (צו^געהונגערט),,ещё немного
,,צו^׀הוסט׀ן (צו^געהוסט),,покашливать
,,צו^׀העלפ׀ן (צו^געהאָלפן),,помогать
,,צו^׀העקל׀ען (צו^געהעקלט),,застёгивать
,,צו^הערער מ ־ס (וו ־ין),,слушатель
,,צוואָג׀ן (געצוואָגן),,мыть (расчёсывая)
,,צוואָגן אק.,,"намылить кому-л. голову,"
,,צוואה [צאוואָע] וו (מצ. צוואָות),,завещание
,,צוואַנג ¹ וו ־ען (דימ. צווענגל),,ед. и мн.
,,צוואַנג ² מ,,"насилие, принуждение"
,,צוואַ^נגאַרבעט וו,,принудительная/
,,"צוואַנציק, צוואָנציק צלוורט",,двадцать
,,"צוואַ^נציקער 1. מ =, ־ס",,ист. монета
,,די צוואַנציקער יאָרן,,двадцатые (годы)
,,צוואָרעך מ,,творог
,,צוּ^׀וואַקס׀ן (איז צו^געוואַקסן),,прирастать;
,,צוּ^׀וואַרט׀ן (צו^געוואַרט),,ещё немного
,,צוּ^׀וואַרפ׀ן (צו^געוואָרפן) (דאט.),,"1. бросать,"
,,צוּוווּקס מ ־ן,,"прирост, приращение,"
,,צוּ^׀וויג׀ן (צו^געוויגט),,"укачивать, баюкать"
,,צוּ׀ווייז׀ן (צו^געוויזן) (דאט.),,"1. указывать,"
,,צוּ^׀ווירצ׀ן (צו^געווירצט),,приправлять
,,צוויט מ,,цвет (цветки; цветение)
,,צוויטע׀ן (געצוויטעט),,цвести
,,צווי^טשע(ר)׀ן (געצוויטשע(ר)ט),,щебетать;
,,צוויי 1. צלוורט,,"два, две; двое"
,,צוויי הונדערט,,двести
,,צוויי מאָל,,1) два раза
,,צוויי מאָל פינף איז צען,,дважды пять –
,,צוויי מאָל אַזוי^ פיל,,вдвое больше;
,,"איינס־צוויי, איינס און צוויי",,в два счёта;
,,צוויי^באָרטיק א,,двубортный
,,"צווייג וו, מ ־ן",,"1. ветка, ветвь"
,,צווייגל ז ־עך (דימ. פון צווייג),,ветка; сучок
,,צוויי^דייטיק א,,двусмысленный
,,צוויי^זייטיק א,,двусторонний (с двумя
,,צווייט א (בלויז אטריב. פ. צווייט׀ער),,1. второй
,,אויפן צווייטן טאָג,,на другой день
,,איך וועל קומען אַ צווייט מאָל,,я приду
,,די צווייטע וואָך,,следующая/будущая
,,פון דער צווייטער זייט,,с другой стороны
,,איינס דאָס צווייטע,,"один другого, друг"
,,צווייטיק א,,вторичный (производный)
,,צווייטל ז ־עך,,двойка карт.
,,צוויי^טלינג מ ־ען,,двойник
,,צוויי^טראַנגיק א,,второстепенный
,,צוויי^־יאָריק א,,двухлетний;
,,צוויייִק א,,двойственный
,,אין צווייען,,1. вдвоём
,,אויף צווייען,,"на две части, надвое"
,,צוויי^ענדיק א,,1. двойной (состоящий
,,צווייענדיקע פענצטער,,двойные рамы
,,פיר׀ן אַ צווייענדיקע שפּיל,,вести двойную
,,צוויי^ערליי א אינוו.,,"двух видов, двух"
,,וויינען פון צווייערליי סאָרטן,,вина двух
,,־פּענעמדיקייט] וו,,"двуличность,"
,,צוויי^פיסיק א,,двуногий
,,צווייפל מ ־ען,,сомнение
,,צווייפל׀ען (געצווייפלט),,сомневаться;
,,צוויי^ריייִק א,,двубортный
,,צוויי^שפּראַכיק א,,двуязычный
,,צווילינג מ ־ען,,"двойня; близнецы,"
,,צווי^לינג־שוועסטער וו =,,сестра-близнец
,,צווינג׀ען (געצוווּנגען),,"заставлять,"
,,צווינטער מ ־ס,,кладбище
,,צוויק ¹ מ ־עס,,свёкла
,,האַלט׀ן אין צוויק,,сковывать чьи-л.
,,צוויק 4 מ ־עס,,каплун
,,צוויקל ז ־עך,,клин (ткани)
,,צווישן 1. פּרעפּ.,,1. меж(ду)
,,טיש,,стол стоит между шкафом
,,צווישן זעקס און זיבן (אַ זייגער),,между
,,פריינדשאַפט צווישן די פעלקער,,дружба
,,אָ^פּ׀רעד׀ן צווישן זיך,,договориться между
,,צווישן אונדז גערע^דט,,между нами
,,[כאוויירים],,он находится среди добрых
,,זיין צווישן די בעסטע,,быть среди/
,,דער בעסטער צווישן זיינע שילער,,лучший
,,די יו^גנטלעכע,,соревнования среди
,,אין צווישן,,"тем временем, между тем"
,,צווישן 3. מ ־ס,,"промежуток, пространство,"
,,צווי^שנ..,,1. меж..
,,צווישנסטאַדיע [дье],,промежуточная
,,צווי^שנבאַציִונג וו ־ען,,взаимоотношение
,,צווי^שנדיק א,,"промежуточный, средний"
,,צווי^שנדעק מ ־ן,,средняя палуба (где
,,צווי^שנוואַנט וו ..ווענט,,"перегородка,"
,,צווי^שנצייט וו,,промежуток (времени)
,,צווי^שנרוף מ ־ן,,реплика (с места)
,,צווי^שנשייד מ ־ן,,"перегородка, барьер"
,,צוועלף צלוורט,,двенадцать
,,צווענגל ז ־עך (דימ. פון צוואַנג),,"щипцы,"
,,צוועק מ ־ן,,"цель, намерение"
,,צווע^קמעסיק 1. א,,целесообразный;
,,צווע^קמעסיק 2. אדוו.,,целесообразно;
,,צוזאָג מ ־ן,,обещание
,,צו^׀זאָג׀ן (צו^געזאָגט),,обещать; давать
,,צו^׀זאַלצ׀ן (צו^געזאַלצט),,"подсаливать,"
,,צוזאַמען 1. אדוו.,,вместе; (объединяя
,,צוזאַ^מענאַרבעט וו,,совместная работа;
,,צוזאַ^מענהאַנג מ ־ען,,связь (смысловая);
,,אין דע^ם צוזאַמענהאַנג,,в этой связи
,,צוזאַ^מענטרעף מ ־ן,,встреча
,,צוזאַ^מענלעבן ז,,совместная жизнь;
,,צוזאַ^מענפאָר מ ־ן,,съезд (собрание); слёт
,,צוזאַ^מענשטויס מ ־ן,,столкновение;
,,צו^׀זוכ׀ן (צו^געזוכט) (דאט.),,находить
,,צוזוכן אַ פּאַ^סיקע אַרבעט,,найти
,,צוזוכן אַ שליסל צום שלאָס,,подобрать
,,צוזינג מ ־ען,,припев
,,צו^׀זינג׀ען (צו^געזונגען),,1. подпевать
,,צו^׀זע׀ן* (צו^געזען) אק.,,"1. смотреть,"
,,זי קען ניט צוזען ווי מע שלאָגט אַ קינד,,она
,,l צוזען דאט.,,"смотреть за...,"
,,"צו^זעער מ ־ס (וו ־ין, ־קע)",,1. зритель
,,צוזעץ מ ־ן,,"прибавка, добавление"
,,צו^׀זעצ׀ן (צו^געזעצט),,"добавлять,"
,,צוזעצן זיך,,присаживаться
,,צוזעצן זיך צו,,подсаживаться к...;
,,צו׀חתמע׀נען [צו^כאסמענען] (צוגעחתמעט [צו^געכאסמעט]),,запечатывать
,,צו^׀טאָ׀ן* (צו^געטאָן) (צו),,1. прибавлять
,,צוטאָן (מיט) אַן אויג,,засыпать
,,צו^׀טוליע׀ן (צו^געטוליעט),,прижимать
,,צוטוליען זיך צו,,"прижиматься,"
,,צו^׀טופּע׀ן (צו^געטופּעט),,притоптывать
,,צו^טיילונג וו ־ען,,"назначение, выделение;"
,,צו^׀טראָג׀ן (צו^געטראָגן) אק.,,подносить
,,צוטראָגן צו,,"подносить, приближать к..."
,,צוטרוי מ (צו),,доверие
,,צוטריט מ,,"1. подход, приступ, подступ"
,,אַ פריי׀ער צוטריט,,свободный доступ
,,אַ צוטריט פאַר פרישער לופט,,доступ
,,צו^טריטלעך א,,"доступный, достижимый"
,,צו^׀טרינק׀ען (צו^געטרונקען) דאט.,,пить
,,צו^׀טריקענ׀ען (צו^געטריקנט),,подсушивать
,,מע קאָן צו אים ניט צוטרעטן,,к нему
,,צו^׀טרעפ׀ן (צו^געטראָפן),,"угадать,"
,,צוטרעפן (דאט.),,"угождать кому-л.,"
,,צו^׀טשעפּע׀ן (צו^געטשעפּעט),,"прицеплять,"
,,צוטשעפּען זיך צו,,"1) прикрепляться,"
,,צויבער מ,,"1. волшебство, чары;"
,,צוי^בער׀ן (געצויבערט),,"1. чаровать,"
,,"צויג וו (מצ. ־ן, צייג, דימ. צייגל)",,сука
,,"צויט מ, וו ־ן",,"1. прядь, клок (волос);"
,,"צוים וו, מ ־ען (דימ. ציימל)",,"узда, повод"
,,צו^׀כאַפּ׀ן (צו^געכאַפּט) (ביי),,"вырывать,"
,,צוכאַפּן זיך צו,,"набрасываться,"
,,צוכאַפּן זיך צום עסן,,наброситься на еду
,,צוכט וו ־ן,,чистюля
,,צולאָג מ ־ן,,добавление; придаток;
,,צו^׀לאָז׀ן (צו^געלאָזט),,1. допускать
,,צו^׀לאַטע׀ן (צו^געלאַטעט),,(п)латать
,,צולאָנטשען זיך צו,,1) присоединяться к...
,,אויף צולהכעיס,,"нарочно,"
,,צולעהא^כעסניק] מ ־עס (וו ..ניצע),,"тот, кто"
,,צו^׀לויפ׀ן (איז צו^געלאָפן) (צו),,"прибегать,"
,,"צוליב, צולי^ב פּרעפּ.",,1. ради
,,צוליב שלום [שאָלעם],,ради/в интересах/
,,צוליב איי^גננוץ,,ради собственной
,,דער קראַנקייט,,он не посещал занятия
,,צוליבזאַך וו ־ן,,"одолжение, милость,"
,,צו^׀לייג׀ן (צו^געלייגט) (צו),,"1. добавлять,"
,,l צולייגן זיך,,"ложиться ненадолго,"
,,צו^׀לייט׀ן (צו^געלייט),,припаивать
,,צו^׀לייכט׀ן (צו^געלויכטן) דאט.,,светить
,,צו^׀לענ׀ען (צו^געלענט),,1. прислонять
,,צו^׀לערנ׀ען (צו^געלערנט),,обучать;
,,צולערנען זיך,,подучиваться
,,l צום ..סטן,,наиболее
,,צום בעסטן,,"наиболее хорошо,"
,,צום שענסטן,,"наиболее красиво, красивее"
,,צו^׀מאַכ׀ן (צו^געמאַכט),,1. закрывать
,,צומאַכן די אויגן,,закрыть/сомкнуть/
,,l צומאַכן צו,,1) приделывать
,,צום־גדליה [צאָמגעדאליע] [лье],,пост
,,צו^׀מוי^ער׀ן (צו^געמויערט),,1. заделывать
,,צומיש מ ־ן,,примесь
,,צו^׀מיש׀ן (צו^געמישט),,"примешивать,"
,,צו^׀מעסט׀ן (צו^געמאָסטן),,1. мерить
,,צו^מצענטריש א,,центростремительный
,,צו^׀נאָגל׀ען (צו^גענאָגלטּ),,прибивать
,,צו^נאָמען מ (מצ. צו^נעמען),,"прозвище,"
,,"צונג וו (מצ. ־ען, צינגער, דימ. צינגל)",,язык
,,אַרוי^ס׀שטעל׀ן אַ צונג,,показать язык
,,פּלאָ^נטער׀ן מיט דער צונג,,говорить
,,בייז׀ע צונג,,"злой язык, сплетник"
,,שטומ׀ע צונג,,бессловесное/безответное
,,צונוי^ף קאָנוו.,,придаёт глаголу значение
,,צונוי^פ׀שטעל׀ן,,составить
,,צונוי^פ׀רופ׀ן,,созвать
,,"צונוי^פ׀ברענג׀ען (צונוי^פגעברענגט, צונוי^פגעבראַכט)",,сносить/свозить
,,צונויפגאָס מ ־ן,,"слияние, объединение"
,,(מיט),,"сходиться (встречаться,"
,,זיי^ערע מיי^נונגען,,они не сошлись
,,צונוי^פ׀גיס׀ן (צונוי^פגעגאָסן),,сливать
,,l צונויפגיסן זיך,,"сливаться, стекаться"
,,צונוי^פגעלאַף ז ־ן,,"стечение (людей),"
,,צונויפדרייען אַ שטריק,,скрутить/свить
,,צונוי^פ׀דריק׀ן (צונוי^פגעדריקט),,сжимать
,,צונויפדריקן די ציינ(ער),,сжать/стиснуть
,,צונוי^פ׀העפט׀ן (צונוי^פגעהאָפטן),,сшивать
,,צונוי^פ׀זאַמל׀ען (צונוי^פגעזאַמלט),,собирать
,,צונוי^פ׀זוכ׀ן (צונוי^פגעזוכט),,собирать
,,צונוי^פ׀זעצ׀ן (צונוי^פגעזעצט),,1. сажать
,,(מיט),,"подружиться, сдружиться с...;"
,,צונוי^פ׀טערכע׀ן (צונוי^פגעטערכעט),,сшить
,,צונוי^פ׀טראָג׀ן (צונוי^פגעטראָגן),,сносить
,,צונוי^פ׀טרייב׀ן (צונוי^פגעטריבן),,сгонять
,,צונויפלייגן דאָס האָלץ,,сложить дрова
,,צונוי^פ׀לייט׀ן (צונוי^פגעלייט),,спаивать
,,צונוי^פ׀מיש׀ן (צונוי^פגעמישט),,"мешать,"
,,צונוי^פ׀ניי׀ען (צונוי^פגענייט),,сшивать
,,צונויפנעמען ידיעות [יעדיִעס],,свести
,,צונוי^פ׀פּאָר׀ן (צונוי^פגעפּאָרט),,1. соединять
,,צונוי^פ׀פּויק׀ן (צונוי^פגעפּויקט),,созывать
,,צונוי^פ׀פּרעס׀ן (צונוי^פגעפּרעסט),,сжимать
,,צונויפפּרעסן די ליפּן,,сжать губы
